headline,web_url,pub_date,byline,section,full_text
Why Trump’s Plan to Relocate Gazans Is Untenable for Jordan,https://www.nytimes.com/2025/02/14/world/middleeast/trump-gaza-takeover-jordan.html,2025-02-14T14:17:50+0000,By Ephrat Livni,World,
"Pro-Palestinian Group Is Relentless in Its Criticism of Israel, and It Isn’t Backing Down",https://www.nytimes.com/2024/10/05/us/within-our-lifetime-pro-palestinian-activism.html,2024-10-05T09:00:40+0000,By Sharon Otterman,U.S.,
Protest That the University of Maryland Sought to Prevent Goes On,https://www.nytimes.com/2024/10/07/us/umd-pro-palestinian-protest-oct-7.html,2024-10-08T01:10:29+0000,By Vimal Patel and JoAnna Daemmrich,U.S.,
Promoting Peace as War Rages: Israeli and Palestinian Activists Meet,https://www.nytimes.com/video/world/100000009244709/israel-palestine-peace-activists.html,2024-02-10T09:55:01+0000,"By Guy Barak, David Blumenfeld, Adam Sella, Alexandra Eaton and Emily Rhyne",World,
Israel’s Occupation of Palestinian Territories Draws Focus of U.N. Court,https://www.nytimes.com/2024/02/19/world/middleeast/israel-palestinians-icj-hearing.html,2024-02-19T10:37:36+0000,By Marlise Simons,World,
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians",https://www.nytimes.com/2024/04/14/world/middleeast/jordan-israel-iran-drones.html,2024-04-14T14:28:03+0000,By Liam Stack,World,
Dave Chappelle Laments ‘Nightmare’ Facing Israelis and Palestinians,https://www.nytimes.com/2023/10/26/arts/dave-chappelle-israel-hamas.html,2023-10-26T13:10:57+0000,By Jonathan Abrams,Arts,
U.N. Body Demands Israel End Its ‘Unlawful Presence in the Occupied Palestinian Territory’,https://www.nytimes.com/2024/09/18/world/middleeast/un-israel-occupation-palestinian.html,2024-09-18T23:05:39+0000,By Anushka Patil,World,
"Israeli Minister Will Release Palestinian Funds if Settlements Are Legalized, Officials Say",https://www.nytimes.com/2024/06/29/world/middleeast/israel-funds-palestinian-authority-smotrich.html,2024-06-28T09:48:42+0000,By Aaron Boxerman and Adam Rasgon,World,
Three European Countries Formally Recognize Palestinian Statehood,https://www.nytimes.com/2024/05/28/world/middleeast/spain-norway-ireland-palestinian-statehood.html,2024-05-28T09:44:55+0000,By Cassandra Vinograd,World,
How Biden’s Support for Israel Could Complicate His Re-Election,https://www.nytimes.com/2023/10/25/opinion/palestine-biden-activists-israel.html,2023-10-25T23:00:16+0000,By Charles M. Blow,Opinion,
Murals in Tehran Offer Tributes and Threats Against Israel,https://www.nytimes.com/2024/10/25/world/middleeast/iran-israel-war-tehran-murals.html,2024-10-25T22:00:08+0000,By Farnaz Fassihi and Arash Khamooshi,World,
The U.S. Must Embrace Palestinian Statehood Now,https://www.nytimes.com/2023/12/15/opinion/us-palestine-statehood-recognition.html,2023-12-15T10:02:58+0000,By R. David Harden and Larry Garber,Opinion,
